,movie,overview,preprocessed
221,Золотая лихорадка ,История о злоключениях извечного любимца публики; маленького бродяги; который на этот раз отправляется на золотые прииски Аляски и как всегда порадует вас бесконечным калейдоскопом трюков и комических ситуаций.,"['истор', 'злоключен', 'извечн', 'любимц', 'публик', 'маленьк', 'бродяг', 'отправля', 'золот', 'прииск', 'аляск', 'порад', 'бесконечн', 'калейдоскоп', 'трюк', 'комическ', 'ситуац']"
222,Убить пересмешника ,Фильм о юристе из Алабамы; воспитывающем без матери своих двоих детей. Помимо темы расовых предрассудков на Юге; это рассказ о том; как двое детей из мира фантазий делают первые шаги в совершенно иной мир подростков; где уже формируются такие понятия; как благородство; сострадание; справедливость и неравенство.В обстановке экономической депрессии; преисполненной фанатизма и ненависти; мудрый; мягкий; с тихой речью и великолепными манерами алабамский юрист должен защищать в суде афроамериканца; ложно обвиненного в изнасиловании.,"['фильм', 'юрист', 'алабам', 'воспитыва', 'матер', 'дво', 'дет', 'помим', 'тем', 'расов', 'предрассудк', 'юг', 'рассказ', 'дво', 'дет', 'фантаз', 'дела', 'перв', 'шаг', 'совершен', 'ин', 'мир', 'подростк', 'формир', 'понят', 'благородств', 'сострадан', 'справедлив', 'неравенств', 'обстановк', 'экономическ', 'депресс', 'преисполнен', 'фанатизм', 'ненавист', 'мудр', 'мягк', 'тих', 'реч', 'великолепн', 'манер', 'алабамск', 'юрист', 'долж', 'защища', 'суд', 'афроамериканц', 'ложн', 'обвинен', 'изнасилован']"
223,Аватар ,Джейк Салли — бывший морской пехотинец; прикованный к инвалидному креслу. Несмотря на немощное тело; Джейк в душе по-прежнему остается воином. Он получает задание совершить путешествие в несколько световых лет к базе землян на планете Пандора; где корпорации добывают редкий минерал; имеющий огромное значение для выхода Земли из энергетического кризиса.,"['джейк', 'салл', 'бывш', 'морск', 'пехотинец', 'прикова', 'инвалидн', 'кресл', 'несмотр', 'немощн', 'тел', 'джейк', 'душ', 'прежн', 'оста', 'воин', 'получа', 'задан', 'соверш', 'путешеств', 'светов', 'баз', 'земля', 'планет', 'пандор', 'корпорац', 'добыва', 'редк', 'минера', 'имеющ', 'огромн', 'значен', 'выход', 'земл', 'энергетическ', 'кризис']"
224,Крупная рыба ,В основу этой приключенческой ленты положен роман Дэниела Уоллеса «Большая рыба: роман мифических пропорций». Умирает отец; о жизни которого сын хочет узнать как можно больше; собирая истории о нем.Сын пытается воссоздать ускользающую жизнь отца в серии легенд и мифов; которые тот придумывает на основе разрозненных фактов. Взлеты и падения в жизни человека в итоге предстают в неожиданном ракурсе.,"['основ', 'приключенческ', 'лент', 'полож', 'рома', 'дэниел', 'уоллес', 'больш', 'рыб', 'рома', 'мифическ', 'пропорц', 'умира', 'отец', 'жизн', 'сын', 'хочет', 'узна', 'собир', 'истор', 'сын', 'пыта', 'воссозда', 'ускольза', 'отц', 'сер', 'легенд', 'миф', 'придумыва', 'основ', 'разрознен', 'факт', 'взлет', 'паден', 'жизн', 'человек', 'итог', 'предста', 'неожида', 'ракурс']"
225,Столкновение ,Закон и преступление; порядок и беспредел; защитник и жертва — неизбежное противостояние и столкновение. Полицейские — порядок; законопослушные граждане — закон. Но все ли граждане; слывущие добропорядочными; соблюдают законы; и всем ли представителям закона стоит доверять? Прикрываясь значком полицейского; они вершат беззаконие и из праведников превращаются в изощренных насильников.,"['закон', 'преступлен', 'порядок', 'беспредел', 'защитник', 'жертв', 'неизбежн', 'противостоян', 'столкновен', 'полицейск', 'порядок', 'законопослушн', 'граждан', 'закон', 'граждан', 'слывущ', 'добропорядочн', 'соблюда', 'закон', 'представител', 'закон', 'сто', 'доверя', 'прикрыв', 'значк', 'полицейск', 'вершат', 'беззакон', 'праведник', 'превраща', 'изощрен', 'насильник']"
226,Завтра была война ,Начало сороковых. Герои фильма — обычные советские старшеклассники. Они учатся в советской школе; стараются быть правильными и идейными комсомольцами-активистами. Но не всегда «правильность»; внушаемая учителями; совпадает с внутренними убеждениями юных душ — им сложно смириться с тем; что их родные и любимые люди оказываются вдруг «врагами народа».,"['нача', 'сороков', 'геро', 'фильм', 'обычн', 'советск', 'старшеклассник', 'учат', 'советск', 'школ', 'стара', 'правильн', 'идейн', 'комсомольц', 'активист', 'правильн', 'внуша', 'учител', 'совпада', 'внутрен', 'убежден', 'юн', 'душ', 'сложн', 'смир', 'родн', 'любим', 'оказыва', 'враг', 'народ']"
227,Звёздные войны: Эпизод 5 – Империя наносит ответный удар ,Борьба за Галактику обостряется в пятом эпизоде космической саги. Войска Императора начинают массированную атаку на повстанцев и их союзников.Хан Соло и принцесса Лейя укрываются в Заоблачном Городе; в котором их и захватывает Дарт Вейдер; в то время как Люк Скайуокер находится на таинственной планете джунглей Дагоба.Там Мастер — джедай Йода обучает молодого рыцаря навыкам обретения Силы. Люк даже не предполагает; как скоро ему придется воспользоваться знаниями старого Мастера: впереди битва с превосходящими силами Императора и смертельный поединок с Дартом Вейдером.,"['борьб', 'галактик', 'обостря', 'пят', 'эпизод', 'космическ', 'саг', 'войск', 'император', 'начина', 'массирова', 'атак', 'повстанц', 'союзник', 'хан', 'сол', 'принцесс', 'лей', 'укрыва', 'заоблачн', 'город', 'котор', 'захватыва', 'дарт', 'вейдер', 'люк', 'скайуокер', 'наход', 'таинствен', 'планет', 'джунгл', 'дагоб', 'мастер', 'джеда', 'йод', 'обуча', 'молод', 'рыцар', 'навык', 'обретен', 'сил', 'люк', 'предполага', 'скор', 'придет', 'воспользова', 'знан', 'стар', 'мастер', 'вперед', 'битв', 'превосходя', 'сил', 'император', 'смертельн', 'поединок', 'дарт', 'вейдер']"
228,Знакомьтесь; Джо Блэк ,В жизни богатого и влиятельного газетного магната Уильяма Пэрриша появляется сама Смерть; принявшая обличье обворожительного молодого человека по имени Джо Блэк.Смерть; уставшая от своих привычных обязанностей; предлагает Пэрришу необычное соглашение: магнат станет проводником Джо в мире живых; где тот планирует провести свой отпуск. По окончании каникул Смерть заберет Пэрриша с собой. С помощью Уильяма; загадочный и эксцентричный Джо начинает свое путешествие по бренной Земле.Но происходит непредвиденное. Оказывается; что тело погибшего мужчины; которое Смерть выбрала для себя; принадлежало юноше; в которого была влюблена дочь Пэрриша.,"['жизн', 'богат', 'влиятельн', 'газетн', 'магнат', 'уильям', 'пэрриш', 'появля', 'смерт', 'приня', 'облич', 'обворожительн', 'молод', 'человек', 'имен', 'джо', 'блэк', 'смерт', 'уста', 'привычн', 'обязан', 'предлага', 'пэрриш', 'необычн', 'соглашен', 'магнат', 'станет', 'проводник', 'джо', 'мир', 'жив', 'планир', 'провест', 'сво', 'отпуск', 'окончан', 'каникул', 'смерт', 'заберет', 'пэрриш', 'помощ', 'уильям', 'загадочн', 'эксцентричн', 'джо', 'начина', 'путешеств', 'брен', 'земл', 'происход', 'непредвиден', 'оказыва', 'тел', 'погибш', 'мужчин', 'котор', 'смерт', 'выбра', 'принадлежа', 'юнош', 'влюбл', 'доч', 'пэрриш']"
229,Рапунцель: Запутанная история ,Обаятельный разбойник Флинн путешествует по жизни с легкостью; лишь потому; что он красив; болтлив и удачлив. И; казалось; фортуна всегда на его стороне; пока однажды он не выбирает высокую башню в густой чаще леса в качестве «спокойного» убежища. Флинн оказывается связанным по рукам и ногам юной красавицей по имени Рапунцель. Если вы думаете; что самое интересное в ней — это 21 метр волшебных золотистых волос; то вы заблуждаетесь! Запертая в башне и отчаянно ищущая приключений; Рапунцель решает использовать Флинна в качестве билета в большой мир. Сначала комичное похищение; затем невинный шантаж — и вот наши герои на воле. Вместе с главными героями в авантюрное путешествие отправятся бравый конь-ищейка Максимус; ручной хамелеон и шайка сумасбродных разбойников.,"['обаятельн', 'разбойник', 'флин', 'путешеств', 'жизн', 'легкост', 'крас', 'болтл', 'удачл', 'каза', 'фортун', 'сторон', 'выбира', 'высок', 'башн', 'густ', 'лес', 'качеств', 'спокойн', 'убежищ', 'флин', 'оказыва', 'связа', 'рук', 'ног', 'юн', 'красавиц', 'имен', 'рапунцел', 'дума', 'сам', 'интересн', 'метр', 'волшебн', 'золотист', 'волос', 'заблужда', 'заперт', 'башн', 'отчая', 'ищущ', 'приключен', 'рапунцел', 'реша', 'использова', 'флин', 'качеств', 'билет', 'больш', 'мир', 'комичн', 'похищен', 'невин', 'шантаж', 'геро', 'вол', 'вмест', 'главн', 'геро', 'авантюрн', 'путешеств', 'отправ', 'брав', 'кон', 'ищейк', 'максимус', 'ручн', 'хамелеон', 'шайк', 'сумасбродн', 'разбойник']"
230,Старший сын ,Это история о том; как два молодых шалопая; провожая случайно знакомых девиц; оказались холодной осенней ночью в глухом пригороде; а все их попытки пристроиться на ночлег оканчивались неудачно.Наконец; позвонив в отсутствие хозяина дома в первую попавшуюся квартиру и чувствуя; что их вот-вот выставят за дверь; молодые люди не нашли ничего лучше; как объявить; что один из них… внебрачный сын главы семьи… Неожиданно их шутке поверили. Ситуация становится еще более удивительной; когда в вымышленное родство вдруг начинает верить и сам автор этой выдумки…,"['истор', 'молод', 'шалоп', 'провож', 'случайн', 'знаком', 'девиц', 'оказа', 'холодн', 'осен', 'ноч', 'глух', 'пригород', 'попытк', 'пристро', 'ночлег', 'оканчива', 'неудачн', 'позвон', 'отсутств', 'хозяин', 'дом', 'перв', 'попа', 'квартир', 'чувству', 'выстав', 'двер', 'молод', 'нашл', 'объяв', 'внебрачн', 'сын', 'глав', 'сем', 'неожида', 'шутк', 'повер', 'ситуац', 'станов', 'удивительн', 'вымышлен', 'родств', 'начина', 'вер', 'автор', 'выдумк']"
231,Вверх ,78-летний ворчун Карл Фредриксен считает; что жизнь обходит его стороной. Чтобы сдержать обещание; данное своей почившей жене; он решает осуществить свою мечту о великом приключении; привязав тысячи воздушных шариков к своему дому и улетев в дебри Южной Америки. Не пролетев и полмили; путешественник обнаруживает; что он ненароком прихватил с собой крайне разговорчивого и неисправимо жизнерадостного 8-летнего мальчика по имени Рассел…,"['летн', 'ворчун', 'карл', 'фредрикс', 'счита', 'обход', 'сторон', 'сдержа', 'обещан', 'дан', 'поч', 'жен', 'реша', 'осуществ', 'мечт', 'велик', 'приключен', 'привяза', 'тысяч', 'воздушн', 'шарик', 'сво', 'дом', 'улет', 'дебр', 'южн', 'америк', 'пролет', 'полм', 'путешественник', 'обнаружива', 'ненарок', 'прихват', 'крайн', 'разговорчив', 'неисправим', 'жизнерадостн', 'летн', 'мальчик', 'имен', 'рассел']"
232,Билли Эллиот ,Чем должен увлекаться сын шахтера? Сомнений нет: боксом и только боксом. Но у 11-летнего Билли Эллиота на этот счет было свое мнение. Он был влюблен в… балет.Отец и старший брат Тони впадают в ярость; когда узнают; что он «променял бокс» на менее «мужественный балет». И только острая на язык миссис Уилкинсон поддерживает Билли в его желании танцевать; и он получает шанс поступить в Королевскую балетную школу.,"['долж', 'увлека', 'сын', 'шахтер', 'сомнен', 'бокс', 'бокс', 'летн', 'билл', 'эллиот', 'счет', 'мнен', 'влюбл', 'балет', 'отец', 'старш', 'брат', 'тон', 'впада', 'ярост', 'узна', 'променя', 'бокс', 'мужествен', 'балет', 'остр', 'язык', 'миссис', 'уилкинсон', 'поддержива', 'билл', 'желан', 'танцева', 'получа', 'шанс', 'поступ', 'королевск', 'балетн', 'школ']"
233,Мулан ,Для великого народа наступили тяжелые времена: на страну напало воинственное племя гуннов. Переодевшись в мужскую одежду; Мулан присоединяется к другим воинам и отправляется в опасный поход к подножию заснеженных гор. Ее сопровождает забавный дракончик Мушу; который больше похож на маленькую собачку; чем на мифическое чудовище. Пытаясь скрыть тайну; они попадают в забавные ситуации и не подозревают; что их секрет вот — вот раскроется!…,"['велик', 'народ', 'наступ', 'тяжел', 'врем', 'стран', 'напа', 'воинствен', 'плем', 'гун', 'переодевш', 'мужск', 'одежд', 'мула', 'присоединя', 'друг', 'воин', 'отправля', 'опасн', 'поход', 'поднож', 'заснежен', 'гор', 'сопровожда', 'забавн', 'дракончик', 'муш', 'похож', 'маленьк', 'собачк', 'мифическ', 'чудовищ', 'пыт', 'скрыт', 'тайн', 'попада', 'забавн', 'ситуац', 'подозрева', 'секрет', 'раскроет']"
234,Поющие под дождем ,Основа этого легендарного фильма — дюжина старых песен; написанных для различных бродвейских шоу. Дон Локвуд — популярная звезда немого кино вспоминает о том; как он пришел к славе… но вдруг счастье покидает его — наступила эра звукового кино. Нужно осваивать новые горизонты.,"['основ', 'легендарн', 'фильм', 'дюжин', 'стар', 'пес', 'написа', 'различн', 'бродвейск', 'шо', 'дон', 'локвуд', 'популярн', 'звезд', 'нем', 'кин', 'вспомина', 'пришел', 'слав', 'счаст', 'покида', 'наступ', 'эр', 'звуков', 'кин', 'осваива', 'нов', 'горизонт']"
235,Жизнь Пи ,Это история сына владельца одного индийского зоопарка; мальчика по имени Пи. Он познаёт мир; учится отстаивать свои принципы; ищет собственную дорогу к Богу; живя по канонам трёх конфессий; влюбляется… Но волей судьбы его семья вынуждена эмигрировать. На полпути между Индией и Канадой корабль терпит крушение; и Пи остаётся в шлюпке вместе с бенгальским тигром; гиеной; зеброй и орангутаном. Вокруг безбрежная водная гладь; а впереди — неизвестность…,"['истор', 'сын', 'владельц', 'индийск', 'зоопарк', 'мальчик', 'имен', 'позна', 'мир', 'уч', 'отстаива', 'принцип', 'ищет', 'собствен', 'дорог', 'бог', 'жив', 'канон', 'трех', 'конфесс', 'влюбля', 'вол', 'судьб', 'сем', 'вынужд', 'эмигрирова', 'полпут', 'инд', 'канад', 'корабл', 'терп', 'крушен', 'оста', 'шлюпк', 'вмест', 'бенгальск', 'тигр', 'гиен', 'зебр', 'орангутан', 'безбрежн', 'водн', 'глад', 'вперед', 'неизвестн']"
236,Русалочка ,Таинственные глубины моря хранят немало тайн; а обитатели океана могут рассказать множество удивительных историй. И самой невероятной из них была и остаётся история русалочки Ариэль. Дочь могущественного царя подводного мира Тритона; она однажды влюбляется в прекрасного и мужественного принца. Но разве они могут быть вместе — земной человек и морская дева? Однако настоящие чувства преодолевают любые преграды. Ради своей любви Ариэль готова пойти на всё. Даже если для обретения своего счастья ей навсегда придётся покинуть родной океан и навеки стать земной девушкой…,"['таинствен', 'глубин', 'мор', 'хран', 'нема', 'тайн', 'обитател', 'океа', 'рассказа', 'множеств', 'удивительн', 'истор', 'невероятн', 'оста', 'истор', 'русалочк', 'ариэл', 'доч', 'могуществен', 'цар', 'подводн', 'тритон', 'влюбля', 'прекрасн', 'мужествен', 'принц', 'вмест', 'земн', 'морск', 'дев', 'настоя', 'чувств', 'преодолева', 'люб', 'преград', 'рад', 'любв', 'ариэл', 'готов', 'пойт', 'обретен', 'счаст', 'навсегд', 'придет', 'покинут', 'родн', 'океа', 'навек', 'стат', 'земн', 'девушк']"
237,Реквием по мечте ,Каждый стремится к своей заветной мечте. Сара Голдфарб мечтала сняться в известном телешоу; ее сын Гарольд с другом Тайроном — сказочно разбогатеть; подруга Гарольда Мэрион грезила о собственном модном магазине; но на их пути были всевозможные препятствия. Все они выбирают неочевидные пути достижения своих целей; и мечты по-прежнему остаются недостижимыми; а жизни героев рушатся безвозвратно.,"['стрем', 'заветн', 'мечт', 'сар', 'голдфарб', 'мечта', 'снят', 'известн', 'телешо', 'сын', 'гарольд', 'друг', 'тайрон', 'сказочн', 'разбогатет', 'подруг', 'гарольд', 'мэрион', 'грез', 'собствен', 'модн', 'магазин', 'пут', 'всевозможн', 'препятств', 'выбира', 'неочевидн', 'пут', 'достижен', 'цел', 'мечт', 'прежн', 'оста', 'недостижим', 'жизн', 'геро', 'рушат', 'безвозвратн']"
238,Гаттака ,Добро пожаловать в Гаттаку — совершенный мир будущего. Здесь каждый генетически запрограммирован; и печальная судьба ожидает тех; кто был рожден в любви; а не в лаборатории. Такова судьба Винсента Фримана; молодого человека; получившего при рождении ярлык «не пригоден».Винсент обладает весомыми недостатками: он подвержен страстям; он поддается эмоциям; и он верит в то; что его мечты сбудутся. Вот почему он покупает личность другого человека; пытаясь обмануть власти и стать уважаемым членом Корпорации Будущего Гаттака.И когда он уже на пути к свободе; убийство грозит раскрытием его реальной личности. Несмотря на свою невиновность; Винсенту есть что скрывать и есть что терять. Но так трудно остаться в живых; когда в тебе живут два человека…,"['добр', 'пожалова', 'гаттак', 'совершен', 'мир', 'будущ', 'генетическ', 'запрограммирова', 'печальн', 'судьб', 'ожида', 'рожд', 'любв', 'лаборатор', 'таков', 'судьб', 'винсент', 'фрима', 'молод', 'человек', 'получ', 'рожден', 'ярлык', 'пригод', 'винсент', 'облада', 'весом', 'недостатк', 'подверж', 'страст', 'подда', 'эмоц', 'вер', 'мечт', 'сбудут', 'покупа', 'личност', 'друг', 'человек', 'пыт', 'обманут', 'власт', 'стат', 'уважа', 'член', 'корпорац', 'будущ', 'гаттак', 'пут', 'свобод', 'убийств', 'гроз', 'раскрыт', 'реальн', 'личност', 'несмотр', 'невиновн', 'винсент', 'скрыва', 'теря', 'трудн', 'оста', 'жив', 'живут', 'человек']"
239,Догвилль ,Юная Грейс; сбежав от банды гангстеров; находит спасение в маленьком городке Догвилль где-то в Скалистых горах. Местные жители — один прекраснее другого — готовы ее укрыть. А взамен им совсем ничего не надо; ну; разве что помочь по дому или присмотреть за детьми. Но постепенно милый Догвилль превращается для девушки в тюрьму.,"['юн', 'грейс', 'сбежа', 'банд', 'гангстер', 'наход', 'спасен', 'маленьк', 'городк', 'догвилл', 'скалист', 'гор', 'местн', 'жител', 'прекрасн', 'друг', 'готов', 'укр', 'взам', 'помоч', 'дом', 'присмотрет', 'детьм', 'постепен', 'мил', 'догвилл', 'превраща', 'девушк', 'тюрьм']"
240,Мужики!.. ,Узнав о том; что умерла его бывшая невеста; шахтер Павел Зубов приезжает в родное село. У него на руках оказываются оставшиеся сиротами трое детей. Старшая дочь — его; Павла. Осознание ответственности перед нею приводит Павла к мужественному решению: он становится отцом всем троим детям.,"['узна', 'умерл', 'бывш', 'невест', 'шахтер', 'павел', 'зуб', 'приезжа', 'родн', 'сел', 'рук', 'оказыва', 'оста', 'сирот', 'тро', 'дет', 'старш', 'доч', 'павл', 'осознан', 'ответствен', 'привод', 'павл', 'мужествен', 'решен', 'станов', 'отц', 'тро', 'дет']"
241,Аты-баты; шли солдаты... ,Они погибли в 1944 году; их было всего восемнадцать человек — комсомольский взвод; остановивший колонну немецких танков.Трагическое и комедийное; героическое и лирическое сплелись на экране в необычную ткань повествования об отцах; навсегда оставшихся молодыми; и о детях; пришедших туда; где ровно тридцать лет назад приняли свой последний смертный бой самые родные для них люди…,"['погибл', 'комсомольск', 'взвод', 'останов', 'колон', 'немецк', 'танк', 'трагическ', 'комедийн', 'героическ', 'лирическ', 'сплел', 'экран', 'необычн', 'ткан', 'повествован', 'отц', 'навсегд', 'оста', 'молод', 'дет', 'пришедш', 'ровн', 'тридца', 'приня', 'сво', 'последн', 'смертн', 'бо', 'сам', 'родн']"
242,История игрушек: Большой побег ,Энди почти 18 лет; ему остаётся 3 дня до отправки в колледж; в то время как его игрушки; в том числе Вуди и Базз Лайтер; гадают о своём будущем.Куда забросит их судьба? На чердак; на свалку или; может быть; в детский сад «Солнышко»?События развиваются в самом неожиданном направлении; и приключения полюбившихся героев продолжаются!,"['энд', 'оста', 'дня', 'отправк', 'колледж', 'игрушк', 'числ', 'вуд', 'базз', 'лайтер', 'гада', 'сво', 'будущ', 'заброс', 'судьб', 'чердак', 'свалк', 'детск', 'сад', 'солнышк', 'событ', 'развива', 'неожида', 'направлен', 'приключен', 'полюб', 'геро', 'продолжа']"
243,Леди и бродяга ,Трогательная и захватывающая история сближения двух абсолютно разных собак — породистой комнатной неженки и обычной дворняги. Изящная и пушистая как игрушка; коккер-спаниельша Леди была любимицей хозяев; пока в их семье не появился младенец. Надетый намордник стал последней каплей; подтолкнувшей обиженную героиню к бегству. Но на улице ее поджидала целая куча опасностей; о существовании которых она даже не подозревала. И тогда на помощь миниатюрной черноглазой красотке пришел пес Бродяга; благородство которого было не в породе; а в душе.,"['трогательн', 'захватыва', 'истор', 'сближен', 'абсолютн', 'разн', 'собак', 'породист', 'комнатн', 'неженк', 'обычн', 'дворняг', 'изящн', 'пушист', 'игрушк', 'коккер', 'спаниельш', 'лед', 'любимиц', 'хозя', 'сем', 'появ', 'младенец', 'надет', 'намордник', 'последн', 'капл', 'подтолкнувш', 'обижен', 'героин', 'бегств', 'улиц', 'поджида', 'цел', 'куч', 'опасн', 'существован', 'подозрева', 'помощ', 'миниатюрн', 'черноглаз', 'красотк', 'пришел', 'пес', 'бродяг', 'благородств', 'пород', 'душ']"
244,Мандарины ,1992 год; Абхазия. Древнее эстонское село; расположенное в живописном месте между горами и морем; опустело — эстонцы вернулись на свою историческую родину. Остались только хозяин товарного цеха Иво; его сосед; владелец мандариновой плантации Маргус и местный доктор Юхан; который уже готов покинуть селение. Маргус также собирается уехать в Эстонию; но лишь после того; как будет собран урожай мандаринов. Война доходит до села; происходит боевое столкновение между грузинами и абхазцами. После боя Иво и Маргус находят одного оставшегося в живых чеченского наёмника по имени Ахмед; который воюет на абхазской стороне. Иво забирает Ахмеда к себе домой; чтобы его вылечить. Ночью; хороня погибших; Маргус обнаруживает; что; несмотря на тяжелое ранение; в бою выжил и один грузин — молодой парень Ника. Его тоже относят в дом Иво. Так под одной крышей оказываются бойцы противоборствующих сторон…,"['абхаз', 'древн', 'эстонск', 'сел', 'расположен', 'живописн', 'мест', 'гор', 'мор', 'опустел', 'эстонц', 'вернул', 'историческ', 'родин', 'оста', 'хозяин', 'товарн', 'цех', 'ив', 'сосед', 'владелец', 'мандаринов', 'плантац', 'маргус', 'местн', 'доктор', 'юха', 'гот', 'покинут', 'селен', 'маргус', 'собира', 'уеха', 'эстон', 'собра', 'урожа', 'мандарин', 'войн', 'доход', 'сел', 'происход', 'боев', 'столкновен', 'грузин', 'абхазц', 'бо', 'ив', 'маргус', 'наход', 'оста', 'жив', 'чеченск', 'наемник', 'имен', 'ахмед', 'вои^', 'абхазск', 'сторон', 'ив', 'забира', 'ахмед', 'дом', 'вылеч', 'ноч', 'хорон', 'погибш', 'маргус', 'обнаружива', 'несмотр', 'тяжел', 'ранен', 'бо', 'выж', 'грузин', 'молод', 'парен', 'ник', 'относ', 'дом', 'ив', 'крыш', 'оказыва', 'бойц', 'противоборств', 'сторон']"
245,Крамер против Крамера ,Тед Крамер; целиком посвятив себя карьере; не замечает того; что происходит в собственной семье. Поэтому от него уходит жена; оставляя незадачливого отца заботиться о шестилетнем сыне.Теперь Крамер старший должен выступить в непривычной роли: ему предстоит ухаживать за Крамером младшим; проводить с ним больше времени и; наконец; попытаться проникнуть в хрупкий и ранимый мир ребенка. Но в тот момент; когда отец и сын становятся настоящими друзьями; раскаявшаяся мать возвращается. И она хочет забрать мальчика.,"['тед', 'крамер', 'целик', 'посвят', 'карьер', 'замеча', 'происход', 'собствен', 'сем', 'поэт', 'уход', 'жен', 'оставл', 'незадачлив', 'отц', 'забот', 'шестилетн', 'сын', 'крамер', 'старш', 'долж', 'выступ', 'непривычн', 'рол', 'предсто', 'ухажива', 'крамер', 'младш', 'провод', 'попыта', 'проникнут', 'хрупк', 'раним', 'мир', 'ребенк', 'момент', 'отец', 'сын', 'станов', 'настоя', 'друз', 'раская', 'мат', 'возвраща', 'хочет', 'забра', 'мальчик']"
246,Пираты Карибского моря: На краю Света ,Новые приключения Джека Воробья и его друзей Уилла Тернера и Элизабет Суонн. На этот раз Уиллу и Элизабет придется объединиться с самим Капитаном Барбоссой для того; чтобы отправиться на край света и спасти своего друга — Джека. Ситуация осложняется тем; что Элизабет попадает к сингапурским пиратам…,"['нов', 'приключен', 'джек', 'вороб', 'друз', 'уилл', 'тернер', 'элизабет', 'суон', 'уилл', 'элизабет', 'придет', 'объедин', 'капитан', 'барбосс', 'отправ', 'кра', 'свет', 'спаст', 'друг', 'джек', 'ситуац', 'осложня', 'элизабет', 'попада', 'сингапурск', 'пират']"
247,Иди и смотри ,Флера — шестнадцатилетний мальчишка; откопавший среди обрывков колючей проволоки; ржавых пулеметных лент и простреленных касок карабин; и отправившийся в лес к партизанам. В начале фильма он совсем ребенок. В конце; пройдя через ужас карательной акции фашистов; становится взрослым; пугающе взрослым и даже — старым. Война исказила когда-то нежные детские черты и превратила их в старческие морщины.,"['флер', 'шестнадцатилетн', 'мальчишк', 'откопа', 'сред', 'обрывк', 'колюч', 'проволок', 'ржав', 'пулеметн', 'лент', 'прострелен', 'касок', 'карабин', 'отправ', 'лес', 'партизан', 'начал', 'фильм', 'ребенок', 'конц', 'пройд', 'ужас', 'карательн', 'акц', 'фашист', 'станов', 'взросл', 'пугающ', 'взросл', 'стар', 'войн', 'исказ', 'нежн', 'детск', 'черт', 'преврат', 'старческ', 'морщин']"
248,Профессионал ,Убить президента африканской республики. Такое задание получил секретный агент Жослен Бомон. Внезапно политика изменилась; и французское правительство сдает героя африканским властям. Сбежав с каторги; волк-одиночка возвращается на родину с одной целью: довести задание до конца. А чернокожий лидер как раз приезжает во Францию.,"['уб', 'президент', 'африканск', 'республик', 'задан', 'получ', 'секретн', 'агент', 'жосл', 'бомон', 'внезапн', 'политик', 'измен', 'французск', 'правительств', 'сдает', 'геро', 'африканск', 'власт', 'сбежа', 'каторг', 'волк', 'одиночк', 'возвраща', 'родин', 'цел', 'довест', 'задан', 'конц', 'чернокож', 'лидер', 'приезжа', 'франц']"
249,Холодное лето пятьдесят третьего... ,Двое бывших политзаключённых; недавно вышедших из лагеря; вступают в схватку с бандой амнистированных уголовников. Победу приходится оплатить дорогой ценой.Почти детективная история неравного поединка заканчивается и оптимистически; и трагически. Время действия — 1953 год; страна на пороге больших перемен…,"['дво', 'бывш', 'политзаключен', 'вышедш', 'лагер', 'вступа', 'схватк', 'банд', 'амнистирова', 'уголовник', 'побед', 'приход', 'оплат', 'дорог', 'цен', 'детективн', 'истор', 'неравн', 'поединк', 'заканчива', 'оптимистическ', 'трагическ', 'действ', 'стран', 'порог', 'больш', 'перем']"
